Test Sample, 26.6.2020, 9:15
Fixed value(s) :  AC Volt  [Vrms]=1.0000e-01
 Freq. [Hz]	 Temp. [°C]	 Eps'    	 Eps''   
2.60308e+06	-5.00000e+00	-4.95028e+02	2.72552e+02
1.85934e+06	-5.00000e+00	-7.89920e+02	6.01001e+02
1.32810e+06	-5.00000e+00	-1.16866e+03	1.22206e+03
9.48645e+05	-5.00000e+00	-1.57209e+03	2.20319e+03
6.77604e+05	-5.00000e+00	-1.92977e+03	3.72054e+03
4.84003e+05	-5.00000e+00	-2.19117e+03	5.90765e+03
3.45716e+05	-5.00000e+00	-2.16305e+03	8.99953e+03
2.46940e+05	-5.00000e+00	-1.64233e+03	1.32396e+04
1.76386e+05	-5.00000e+00	-3.00019e+02	1.89621e+04
1.25990e+05	-5.00000e+00	2.45562e+03	2.62807e+04
8.99928e+04	-5.00000e+00	7.52795e+03	3.59419e+04
6.42805e+04	-5.00000e+00	1.63093e+04	4.65617e+04
4.59147e+04	-5.00000e+00	3.01585e+04	5.70380e+04
3.27962e+04	-5.00000e+00	4.84535e+04	6.40961e+04
2.34258e+04	-5.00000e+00	6.86039e+04	6.56413e+04
1.67328e+04	-5.00000e+00	8.68833e+04	6.24121e+04
1.19520e+04	-5.00000e+00	1.01904e+05	5.67192e+04
8.53712e+03	-5.00000e+00	1.13697e+05	5.06378e+04
6.09794e+03	-5.00000e+00	1.22994e+05	4.54126e+04
4.35567e+03	-5.00000e+00	1.30631e+05	4.14611e+04
3.11119e+03	-5.00000e+00	1.37247e+05	3.90253e+04
2.22228e+03	-5.00000e+00	1.43440e+05	3.80827e+04
1.58734e+03	-5.00000e+00	1.49665e+05	3.86110e+04
1.13382e+03	-5.00000e+00	1.56025e+05	4.04783e+04
8.09869e+02	-5.00000e+00	1.63083e+05	4.37056e+04
5.78478e+02	-5.00000e+00	1.71061e+05	4.82778e+04
4.13199e+02	-5.00000e+00	1.80219e+05	5.41651e+04
2.95142e+02	-5.00000e+00	1.90833e+05	6.13066e+04
2.10816e+02	-5.00000e+00	2.03444e+05	6.97624e+04
1.50583e+02	-5.00000e+00	2.17889e+05	7.92586e+04
1.07559e+02	-5.00000e+00	2.34572e+05	8.97445e+04
7.68279e+01	-5.00000e+00	2.53533e+05	1.01128e+05
5.48770e+01	-5.00000e+00	2.74757e+05	1.13526e+05
3.91979e+01	-5.00000e+00	2.98229e+05	1.27275e+05
2.79985e+01	-5.00000e+00	3.23768e+05	1.42787e+05
1.99989e+01	-5.00000e+00	3.52494e+05	1.61090e+05
1.42850e+01	-5.00000e+00	3.84926e+05	1.82438e+05
1.02035e+01	-5.00000e+00	4.22191e+05	2.07660e+05
7.28824e+00	-5.00000e+00	4.63903e+05	2.36634e+05
5.20588e+00	-5.00000e+00	5.11812e+05	2.70888e+05
3.71849e+00	-5.00000e+00	5.66816e+05	3.10964e+05
2.65606e+00	-5.00000e+00	6.29376e+05	3.58663e+05
1.89719e+00	-5.00000e+00	7.01268e+05	4.15868e+05
1.35513e+00	-5.00000e+00	7.83016e+05	4.84065e+05
9.67953e-01	-5.00000e+00	8.77747e+05	5.68707e+05
6.91395e-01	-5.00000e+00	9.90736e+05	6.76594e+05
4.93854e-01	-5.00000e+00	1.11830e+06	8.04882e+05
3.52753e-01	-5.00000e+00	1.26693e+06	9.64712e+05
2.51966e-01	-5.00000e+00	1.43984e+06	1.16384e+06
1.79976e-01	-5.00000e+00	1.63897e+06	1.41287e+06
1.28554e-01	-5.00000e+00	1.86842e+06	1.72312e+06
1.00000e-01	-5.00000e+00	2.06494e+06	2.00727e+06
1.00000e+07	0.00000e+00	-6.49546e+01	9.63138e+00
7.14286e+06	0.00000e+00	-9.99475e+01	2.16814e+01
5.10204e+06	0.00000e+00	-1.72532e+02	5.07776e+01
3.64432e+06	0.00000e+00	-2.99543e+02	1.11059e+02
2.60308e+06	0.00000e+00	-5.14800e+02	2.58275e+02
1.85934e+06	0.00000e+00	-8.41100e+02	5.83270e+02
1.32810e+06	0.00000e+00	-1.28636e+03	1.21984e+03
9.48645e+05	0.00000e+00	-1.78992e+03	2.26226e+03
6.77604e+05	0.00000e+00	-2.26775e+03	3.92895e+03
4.84003e+05	0.00000e+00	-2.64170e+03	6.37341e+03
3.45716e+05	0.00000e+00	-2.66507e+03	9.86656e+03
2.46940e+05	0.00000e+00	-2.06289e+03	1.46088e+04
1.76386e+05	0.00000e+00	-4.71886e+02	2.09219e+04
1.25990e+05	0.00000e+00	2.75016e+03	2.87966e+04
8.99928e+04	0.00000e+00	8.62561e+03	3.92362e+04
6.42805e+04	0.00000e+00	1.87447e+04	5.04856e+04
4.59147e+04	0.00000e+00	3.43193e+04	6.09927e+04
3.27962e+04	0.00000e+00	5.38210e+04	6.71589e+04
2.34258e+04	0.00000e+00	7.44592e+04	6.75338e+04
1.67328e+04	0.00000e+00	9.26532e+04	6.34838e+04
1.19520e+04	0.00000e+00	1.07250e+05	5.74705e+04
8.53712e+03	0.00000e+00	1.18727e+05	5.15628e+04
6.09794e+03	0.00000e+00	1.27986e+05	4.67021e+04
4.35567e+03	0.00000e+00	1.35779e+05	4.31861e+04
3.11119e+03	0.00000e+00	1.42684e+05	4.12418e+04
2.22228e+03	0.00000e+00	1.49267e+05	4.08509e+04
1.58734e+03	0.00000e+00	1.56021e+05	4.19254e+04
1.13382e+03	0.00000e+00	1.63016e+05	4.43864e+04
8.09869e+02	0.00000e+00	1.70813e+05	4.82989e+04
5.78478e+02	0.00000e+00	1.79660e+05	5.37005e+04
4.13199e+02	0.00000e+00	1.89841e+05	6.05797e+04
2.95142e+02	0.00000e+00	2.01686e+05	6.89036e+04
2.10816e+02	0.00000e+00	2.15773e+05	7.87624e+04
1.50583e+02	0.00000e+00	2.31969e+05	8.98694e+04
1.07559e+02	0.00000e+00	2.50737e+05	1.02221e+05
7.68279e+01	0.00000e+00	2.72119e+05	1.15785e+05
5.48770e+01	0.00000e+00	2.96233e+05	1.30714e+05
3.91979e+01	0.00000e+00	3.23090e+05	1.47551e+05
2.79985e+01	0.00000e+00	3.53041e+05	1.66769e+05
1.99989e+01	0.00000e+00	3.86400e+05	1.88981e+05
1.42850e+01	0.00000e+00	4.24634e+05	2.15255e+05
1.02035e+01	0.00000e+00	4.68695e+05	2.46304e+05
7.28824e+00	0.00000e+00	5.19050e+05	2.81949e+05
5.20588e+00	0.00000e+00	5.75218e+05	3.23609e+05
3.71849e+00	0.00000e+00	6.40552e+05	3.73909e+05
2.65606e+00	0.00000e+00	7.13850e+05	4.33411e+05
1.89719e+00	0.00000e+00	7.96846e+05	5.06360e+05
1.35513e+00	0.00000e+00	8.93938e+05	6.00107e+05
9.67953e-01	0.00000e+00	1.00541e+06	7.13094e+05
6.91395e-01	0.00000e+00	1.13381e+06	8.56205e+05
4.93854e-01	0.00000e+00	1.29263e+06	1.04204e+06
3.52753e-01	0.00000e+00	1.47153e+06	1.26882e+06
2.51966e-01	0.00000e+00	1.67379e+06	1.54879e+06
1.79976e-01	0.00000e+00	1.92175e+06	1.91846e+06
1.28554e-01	0.00000e+00	2.21231e+06	2.39150e+06
1.00000e-01	0.00000e+00	2.46728e+06	2.84599e+06
1.00000e+07	5.00000e+00	-6.53326e+01	8.50965e+00
7.14286e+06	5.00000e+00	-1.00837e+02	2.10422e+01
5.10204e+06	5.00000e+00	-1.74378e+02	4.75098e+01
3.64432e+06	5.00000e+00	-3.04723e+02	1.04156e+02
2.60308e+06	5.00000e+00	-5.31150e+02	2.44553e+02
1.85934e+06	5.00000e+00	-8.86864e+02	5.62741e+02
1.32810e+06	5.00000e+00	-1.39507e+03	1.20719e+03
9.48645e+05	5.00000e+00	-1.99585e+03	2.29793e+03
6.77604e+05	5.00000e+00	-2.61414e+03	4.10063e+03
4.84003e+05	5.00000e+00	-3.13981e+03	6.81275e+03
3.45716e+05	5.00000e+00	-3.25603e+03	1.07539e+04
2.46940e+05	5.00000e+00	-2.60941e+03	1.61557e+04
1.76386e+05	5.00000e+00	-7.27067e+02	2.33435e+04
1.25990e+05	5.00000e+00	3.17225e+03	3.22139e+04
8.99928e+04	5.00000e+00	1.02187e+04	4.36489e+04
6.42805e+04	5.00000e+00	2.19144e+04	5.52568e+04
4.59147e+04	5.00000e+00	3.92551e+04	6.54270e+04
3.27962e+04	5.00000e+00	6.03294e+04	7.05641e+04
2.34258e+04	5.00000e+00	8.16346e+04	6.95668e+04
1.67328e+04	5.00000e+00	9.95244e+04	6.46249e+04
1.19520e+04	5.00000e+00	1.13709e+05	5.84069e+04
8.53712e+03	5.00000e+00	1.24940e+05	5.27625e+04
6.09794e+03	5.00000e+00	1.34222e+05	4.84146e+04
4.35567e+03	5.00000e+00	1.42281e+05	4.55123e+04
3.11119e+03	5.00000e+00	1.49665e+05	4.41658e+04
2.22228e+03	5.00000e+00	1.56844e+05	4.44011e+04
1.58734e+03	5.00000e+00	1.64284e+05	4.62039e+04
1.13382e+03	5.00000e+00	1.72063e+05	4.95252e+04
8.09869e+02	5.00000e+00	1.80806e+05	5.44867e+04
5.78478e+02	5.00000e+00	1.90717e+05	6.11050e+04
4.13199e+02	5.00000e+00	2.02203e+05	6.94734e+04
2.95142e+02	5.00000e+00	2.15646e+05	7.96265e+04
2.10816e+02	5.00000e+00	2.31659e+05	9.16372e+04
1.50583e+02	5.00000e+00	2.50210e+05	1.05385e+05
1.07559e+02	5.00000e+00	2.71861e+05	1.20868e+05
7.68279e+01	5.00000e+00	2.96810e+05	1.38192e+05
5.48770e+01	5.00000e+00	3.25300e+05	1.57627e+05
3.91979e+01	5.00000e+00	3.57671e+05	1.79535e+05
2.79985e+01	5.00000e+00	3.94345e+05	2.04727e+05
1.99989e+01	5.00000e+00	4.35677e+05	2.33693e+05
1.42850e+01	5.00000e+00	4.83180e+05	2.67591e+05
1.02035e+01	5.00000e+00	5.37545e+05	3.07734e+05
7.28824e+00	5.00000e+00	6.00140e+05	3.54582e+05
5.20588e+00	5.00000e+00	6.70143e+05	4.10595e+05
3.71849e+00	5.00000e+00	7.49915e+05	4.80069e+05
2.65606e+00	5.00000e+00	8.39411e+05	5.63222e+05
1.89719e+00	5.00000e+00	9.41900e+05	6.68034e+05
1.35513e+00	5.00000e+00	1.05858e+06	8.02878e+05
9.67953e-01	5.00000e+00	1.20135e+06	9.78091e+05
6.91395e-01	5.00000e+00	1.36090e+06	1.18995e+06
4.93854e-01	5.00000e+00	1.54891e+06	1.45784e+06
3.52753e-01	5.00000e+00	1.78232e+06	1.80780e+06
2.51966e-01	5.00000e+00	2.05240e+06	2.25132e+06
1.79976e-01	5.00000e+00	2.36441e+06	2.81381e+06
1.28554e-01	5.00000e+00	2.71905e+06	3.52294e+06
1.00000e-01	5.00000e+00	3.03142e+06	4.19122e+06
1.00000e+07	1.00000e+01	-6.52427e+01	8.35001e+00
7.14286e+06	1.00000e+01	-1.01055e+02	2.05738e+01
5.10204e+06	1.00000e+01	-1.74968e+02	4.64813e+01
3.64432e+06	1.00000e+01	-3.06352e+02	1.02028e+02
2.60308e+06	1.00000e+01	-5.35960e+02	2.40232e+02
1.85934e+06	1.00000e+01	-9.00491e+02	5.56091e+02
1.32810e+06	1.00000e+01	-1.42690e+03	1.20147e+03
9.48645e+05	1.00000e+01	-2.06024e+03	2.30357e+03
6.77604e+05	1.00000e+01	-2.72403e+03	4.14422e+03
4.84003e+05	1.00000e+01	-3.30240e+03	6.93356e+03
3.45716e+05	1.00000e+01	-3.46474e+03	1.10068e+04
2.46940e+05	1.00000e+01	-2.82990e+03	1.66061e+04
1.76386e+05	1.00000e+01	-9.09051e+02	2.40557e+04
1.25990e+05	1.00000e+01	3.10752e+03	3.32376e+04
8.99928e+04	1.00000e+01	1.03725e+04	4.50791e+04
6.42805e+04	1.00000e+01	2.24507e+04	5.70865e+04
4.59147e+04	1.00000e+01	4.03317e+04	6.75959e+04
3.27962e+04	1.00000e+01	6.20194e+04	7.29418e+04
2.34258e+04	1.00000e+01	8.39045e+04	7.20458e+04
1.67328e+04	1.00000e+01	1.02322e+05	6.72093e+04
1.19520e+04	1.00000e+01	1.16980e+05	6.11836e+04
8.53712e+03	1.00000e+01	1.28757e+05	5.57811e+04
6.09794e+03	1.00000e+01	1.38636e+05	5.17087e+04
4.35567e+03	1.00000e+01	1.47328e+05	4.91382e+04
3.11119e+03	1.00000e+01	1.55391e+05	4.81897e+04
2.22228e+03	1.00000e+01	1.63309e+05	4.89123e+04
1.58734e+03	1.00000e+01	1.71544e+05	5.13251e+04
1.13382e+03	1.00000e+01	1.80204e+05	5.54094e+04
8.09869e+02	1.00000e+01	1.89957e+05	6.13398e+04
5.78478e+02	1.00000e+01	2.01029e+05	6.91547e+04
4.13199e+02	1.00000e+01	2.13914e+05	7.90595e+04
2.95142e+02	1.00000e+01	2.29022e+05	9.10627e+04
2.10816e+02	1.00000e+01	2.47132e+05	1.05402e+05
1.50583e+02	1.00000e+01	2.68225e+05	1.21963e+05
1.07559e+02	1.00000e+01	2.93027e+05	1.40811e+05
7.68279e+01	1.00000e+01	3.21952e+05	1.62051e+05
5.48770e+01	1.00000e+01	3.55426e+05	1.86099e+05
3.91979e+01	1.00000e+01	3.93838e+05	2.13326e+05
2.79985e+01	1.00000e+01	4.37682e+05	2.44452e+05
1.99989e+01	1.00000e+01	4.87461e+05	2.80102e+05
1.42850e+01	1.00000e+01	5.44395e+05	3.22305e+05
1.02035e+01	1.00000e+01	6.09508e+05	3.72329e+05
7.28824e+00	1.00000e+01	6.83798e+05	4.32493e+05
5.20588e+00	1.00000e+01	7.68612e+05	5.06574e+05
3.71849e+00	1.00000e+01	8.64467e+05	5.97219e+05
2.65606e+00	1.00000e+01	9.71940e+05	7.11750e+05
1.89719e+00	1.00000e+01	1.09809e+06	8.58623e+05
1.35513e+00	1.00000e+01	1.24074e+06	1.03886e+06
9.67953e-01	1.00000e+01	1.40946e+06	1.27285e+06
6.91395e-01	1.00000e+01	1.60767e+06	1.57510e+06
4.93854e-01	1.00000e+01	1.84346e+06	1.95688e+06
3.52753e-01	1.00000e+01	2.11916e+06	2.44255e+06
2.51966e-01	1.00000e+01	2.44255e+06	3.06214e+06
1.79976e-01	1.00000e+01	2.84706e+06	3.86879e+06
1.28554e-01	1.00000e+01	3.31040e+06	4.89428e+06
1.00000e-01	1.00000e+01	3.71467e+06	5.85349e+06
1.00000e+07	1.50000e+01	-6.54741e+01	8.17617e+00
7.14286e+06	1.50000e+01	-1.00956e+02	1.95743e+01
5.10204e+06	1.50000e+01	-1.75141e+02	4.64431e+01
3.64432e+06	1.50000e+01	-3.06587e+02	1.01958e+02
2.60308e+06	1.50000e+01	-5.36287e+02	2.40069e+02
1.85934e+06	1.50000e+01	-9.00937e+02	5.55800e+02
1.32810e+06	1.50000e+01	-1.42847e+03	1.20024e+03
9.48645e+05	1.50000e+01	-2.06304e+03	2.30305e+03
6.77604e+05	1.50000e+01	-2.72950e+03	4.14037e+03
4.84003e+05	1.50000e+01	-3.31566e+03	6.92642e+03
3.45716e+05	1.50000e+01	-3.49750e+03	1.09916e+04
2.46940e+05	1.50000e+01	-2.90873e+03	1.65826e+04
1.76386e+05	1.50000e+01	-1.08407e+03	2.40443e+04
1.25990e+05	1.50000e+01	2.76990e+03	3.32973e+04
8.99928e+04	1.50000e+01	9.77094e+03	4.53637e+04
6.42805e+04	1.50000e+01	2.15739e+04	5.78696e+04
4.59147e+04	1.50000e+01	3.93677e+04	6.92810e+04
3.27962e+04	1.50000e+01	6.14376e+04	7.57845e+04
2.34258e+04	1.50000e+01	8.42882e+04	7.59598e+04
1.67328e+04	1.50000e+01	1.03947e+05	7.18553e+04
1.19520e+04	1.50000e+01	1.19921e+05	6.61876e+04
8.53712e+03	1.50000e+01	1.32912e+05	6.10236e+04
6.09794e+03	1.50000e+01	1.43942e+05	5.71828e+04
4.35567e+03	1.50000e+01	1.53767e+05	5.48715e+04
3.11119e+03	1.50000e+01	1.62920e+05	5.42752e+04
2.22228e+03	1.50000e+01	1.71956e+05	5.54991e+04
1.58734e+03	1.50000e+01	1.81334e+05	5.85638e+04
1.13382e+03	1.50000e+01	1.91282e+05	6.35301e+04
8.09869e+02	1.50000e+01	2.02458e+05	7.06042e+04
